Title,Genre,Runtime,IMDB Score,Language
El Pepe: A Supreme Life,Documentary,73,7.1,Spanish
End Game,Documentary,40,7.1,English
Evelyn,Documentary,96,7.1,English
Ferry,Crime drama,106,7.1,Dutch
Grass Is Greener,Documentary,97,7.1,English
Guillermo Vilas: Settling the Score,Documentary,94,7.1,Spanish
Joshua: Teenager vs. Superpower,Documentary,78,7.1,English
Keith Richards: Under the Influence,Documentary,81,7.1,English
Knock Down the House,Documentary,87,7.1,English
Loudon Wainwright III: Surviving Twin,One-man show,91,7.1,English
My Beautiful Broken Brain,Documentary,91,7.1,English
One of Us,Documentary,95,7.1,English
Pieces of a Woman,Drama,126,7.1,English
"Ram Dass, Going Home",Documentary,31,7.1,English
ReMastered: Tricky Dick & the Man in Black,Documentary,58,7.1,English
Rooting for Roona,Documentary,41,7.1,Bengali
The Devil All the Time,Psychological thriller,138,7.1,English
The Dig,Drama,112,7.1,English
The Great Hack,Documentary,114,7.1,English
The White Tiger,Drama,125,7.1,English
To All the Boys I've Loved Before,Romantic comedy,99,7.1,English
American Murder: The Family Next Door,Documentary,82,7.2,English
Audrie & Daisy,Documentary,98,7.2,English
First They Killed My Father,Drama,136,7.2,Khmer/English/French
Fyre: The Greatest Party That Never Happened,Documentary,97,7.2,English
Into the Inferno,Documentary,107,7.2,English
LA Originals,Documentary,92,7.2,English
Ladies First,Documentary,39,7.2,English/Hindi
Love per Square Foot,Romantic comedy,133,7.2,Hindi
Paddleton,Drama-Comedy,89,7.2,English
Private Life,Drama,124,7.2,English
Seventeen,Coming-of-age comedy-drama,99,7.2,Spanish
Sometimes,Drama,101,7.2,Tamil
Soni,Crime drama,97,7.2,Hindi
The 40-Year-Old Version,Comedy,124,7.2,English
The Disciple,Drama,129,7.2,Marathi
The Edge of Democracy,Documentary,121,7.2,Portuguese
The King,Historical drama,140,7.2,English
The Road to El Camino: A Breaking Bad Movie,Making-of,13,7.2,English
The Siege of Jadotville,War,108,7.2,English
Zion ,Documentary,11,7.2,English
Dolemite Is My Name,Biopic,118,7.3,English
El Camino: A Breaking Bad Movie,Crime drama,121,7.3,English
Extremis,Documentary,24,7.3,English
Father Soldier Son,Documentary,100,7.3,English
Get Me Roger Stone,Documentary,101,7.3,English
I'm No Longer Here,Drama,105,7.3,Spanish
Mucho Mucho Amor: The Legend of Walter Mercado ,Documentary,96,7.3,Spanish/English
